All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                    efaecium_E745_polished
# contigs (>= 0 bp)         10                    
# contigs (>= 1000 bp)      10                    
# contigs (>= 5000 bp)      9                     
# contigs (>= 10000 bp)     9                     
# contigs (>= 25000 bp)     3                     
# contigs (>= 50000 bp)     2                     
Total length (>= 0 bp)      3115191               
Total length (>= 1000 bp)   3115191               
Total length (>= 5000 bp)   3110970               
Total length (>= 10000 bp)  3110970               
Total length (>= 25000 bp)  3001990               
Total length (>= 50000 bp)  2961977               
# contigs                   10                    
Largest contig              2762575               
Total length                3115191               
GC (%)                      37.80                 
N50                         2762575               
N90                         199402                
auN                         2463823.6             
L50                         1                     
L90                         2                     
# N's per 100 kbp           0.00                  
