"","BHI_1","BHI_2","BHI_3","Serum_1","Serum_2","Serum_3"
"NHECHLLE_00001",0,0,0,1,1,0
"NHECHLLE_00003",3,1,2,4,3,3
"NHECHLLE_00004",136,140,139,135,148,151
"NHECHLLE_00006",1673,1633,1467,720,905,849
"NHECHLLE_00007",444,413,341,157,216,165
"NHECHLLE_00008",1351,1233,1225,1091,1224,1202
"NHECHLLE_00009",1521,1522,1434,1633,1883,1714
"NHECHLLE_00010",101,87,82,55,57,67
"NHECHLLE_00011",117,136,121,89,115,134
"NHECHLLE_00012",9335,9692,8911,12219,14155,13465
"NHECHLLE_00013",1632,1495,1420,996,1215,1038
"NHECHLLE_00014",662,703,638,798,943,862
"NHECHLLE_00015",716,704,585,878,1070,971
"NHECHLLE_00016",1210,1010,1022,1297,1515,1320
"NHECHLLE_00017",4880,4702,4168,6373,7790,6814
"NHECHLLE_00018",20069,22906,21170,18837,22245,19911
"NHECHLLE_00019",6,7,12,6,2,6
"NHECHLLE_00020",35,29,34,66,77,79
"NHECHLLE_00021",0,0,0,0,0,0
"NHECHLLE_00022",2,15,10,3,4,5
"NHECHLLE_00023",215,274,297,174,231,179
"NHECHLLE_00024",672,806,839,6978,7175,6739
"NHECHLLE_00025",7,16,16,13,13,13
"NHECHLLE_00026",1191,1357,985,8557,8256,7156
"NHECHLLE_00027",2467,2396,2171,1052,1203,1115
"NHECHLLE_00028",718,743,764,657,810,728
"NHECHLLE_00029",8,11,8,8,12,6
"NHECHLLE_00030",111,120,118,240,283,242
"NHECHLLE_00031",175,189,151,469,552,517
"NHECHLLE_00032",0,0,1,0,1,0
"NHECHLLE_00033",42,47,38,50,60,55
"NHECHLLE_00034",5506,5272,4934,11393,13392,11710
"NHECHLLE_00036",543,544,529,228,231,222
"NHECHLLE_00037",1948,2073,1810,3032,3093,3126
"NHECHLLE_00038",958,1193,995,868,1054,890
"NHECHLLE_00039",229,233,212,214,217,227
"NHECHLLE_00040",1158,1231,1042,942,951,916
"NHECHLLE_00041",269,292,283,1851,1987,1644
"NHECHLLE_00042",381,369,335,1100,1286,1185
"NHECHLLE_00043",381,251,232,1124,1188,1251
"NHECHLLE_00044",25,20,26,38,43,44
"NHECHLLE_00045",534,565,517,2288,2519,2314
"NHECHLLE_00046",1215,1196,1125,4967,5480,5258
"NHECHLLE_00047",349,413,344,1304,1638,1562
"NHECHLLE_00048",449,487,443,1528,1971,1686
"NHECHLLE_00049",477,497,389,1973,2153,2056
"NHECHLLE_00050",88,59,75,282,299,328
"NHECHLLE_00051",31,24,22,77,103,90
"NHECHLLE_00052",52,46,29,125,132,122
"NHECHLLE_00053",346,370,294,862,875,866
"NHECHLLE_00054",93,81,85,211,252,220
"NHECHLLE_00055",78,106,89,181,231,231
"NHECHLLE_00056",0,0,0,0,0,0
"NHECHLLE_00057",0,0,0,0,0,0
"NHECHLLE_00058",409,401,390,1189,1503,1402
"NHECHLLE_00059",2,2,0,4,8,7
"NHECHLLE_00060",831,956,864,1263,1608,1557
"NHECHLLE_00061",491,455,435,1859,1996,2006
"NHECHLLE_00062",908,883,772,875,1047,843
"NHECHLLE_00063",80,77,67,63,69,58
"NHECHLLE_00064",62,46,42,67,47,54
"NHECHLLE_00065",83,97,85,63,85,87
"NHECHLLE_00066",128,109,93,103,116,127
"NHECHLLE_00067",304,303,268,361,385,377
"NHECHLLE_00068",241,300,235,217,285,268
"NHECHLLE_00069",252,259,226,185,253,261
"NHECHLLE_00070",670,693,612,678,789,747
"NHECHLLE_00071",17,14,7,15,12,19
"NHECHLLE_00072",73,123,101,69,75,101
"NHECHLLE_00073",13,15,16,7,16,13
"NHECHLLE_00074",83,92,76,74,73,95
"NHECHLLE_00075",155,127,118,133,157,147
"NHECHLLE_00076",204,183,163,197,262,280
"NHECHLLE_00077",526,338,342,292,356,332
"NHECHLLE_00078",116,84,84,56,81,77
"NHECHLLE_00079",611,601,516,495,601,583
"NHECHLLE_00080",0,0,0,0,0,0
"NHECHLLE_00081",0,0,0,0,0,0
"NHECHLLE_00082",0,0,0,0,0,0
"NHECHLLE_00083",21,24,13,7,21,21
"NHECHLLE_00084",15,6,9,16,15,15
"NHECHLLE_00085",18,8,12,10,13,13
"NHECHLLE_00086",20,16,16,23,22,20
"NHECHLLE_00087",229,260,206,163,195,163
"NHECHLLE_00088",5,5,3,0,1,1
"NHECHLLE_00089",1,0,1,0,0,0
