Name	Protein id	Element symbol	Element name	Scope	Type	Subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference	% Identity to reference	Alignment length	Closest reference accession	Closest reference name	HMM accession	HMM description
E745_protein	NHECHLLE_01256	msr(C)	ABC-F type ribosomal protection protein Msr(C)	core	AMR	AMR	MACROLIDE/STREPTOGRAMIN	AZITHROMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B/TYLOSIN	BLASTP	492	492	100.00	98.98	492	WP_063854349.1	ABC-F type ribosomal protection protein Msr(C)	NF000168.2	Msr family ABC-F type ribosomal protection protein
E745_protein	NHECHLLE_02268	aac(6')-I	aminoglycoside 6'-N-acetyltransferase	core	AMR	AMR	AMINOGLYCOSIDE	AMINOGLYCOSIDE	EXACTP	182	182	100.00	100.00	182	WP_002289795.1	aminoglycoside 6'-N-acetyltransferase	NF000165.3	aminoglycoside 6'-N-acetyltransferase
E745_protein	NHECHLLE_02610	copB	copper/silver-translocating P-type ATPase CopB	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	BLASTP	723	745	95.97	81.44	722	AFM70730.1	copper/silver-translocating P-type ATPase CopB	NA	NA
E745_protein	NHECHLLE_02975	vanR-A	vancomycin resistance response regulator transcription factor VanR-A	core	AMR	AMR	GLYCOPEPTIDE	VANCOMYCIN	EXACTP	231	231	100.00	100.00	231	WP_001280781.1	vancomycin resistance response regulator transcription factor VanR-A	NF000401.1	vancomycin resistance response regulator transcription factor VanR-A
E745_protein	NHECHLLE_02976	vanS-A	vancomycin resistance histidine kinase VanS-A	core	AMR	AMR	GLYCOPEPTIDE	VANCOMYCIN	BLASTP	380	384	98.96	99.74	380	WP_002305818.1	vancomycin resistance histidine kinase VanS-A	NF033091.0	vancomycin resistance histidine kinase VanS
E745_protein	NHECHLLE_02977	vanH-A	D-lactate dehydrogenase VanH-A	core	AMR	AMR	GLYCOPEPTIDE	VANCOMYCIN	EXACTP	322	322	100.00	100.00	322	WP_001059542.1	D-lactate dehydrogenase VanH-A	NF000371.1	VanH-A/VanH-Pt family D-lactate dehydrogenase
E745_protein	NHECHLLE_02978	vanA	D-alanine--(R)-lactate ligase VanA	core	AMR	AMR	GLYCOPEPTIDE	VANCOMYCIN	EXACTP	343	343	100.00	100.00	343	WP_001079845.1	D-alanine--(R)-lactate ligase VanA	NF012217.1	D-alanine--(R)-lactate ligase VanA
E745_protein	NHECHLLE_02979	vanX-A	D-Ala-D-Ala dipeptidase VanX-A	core	AMR	AMR	GLYCOPEPTIDE	VANCOMYCIN	EXACTP	202	202	100.00	100.00	202	WP_000402347.1	D-Ala-D-Ala dipeptidase VanX-A	NF033115.1	D-Ala-D-Ala dipeptidase VanX
E745_protein	NHECHLLE_02981	vanZ-A	glycopeptide resistance protein VanZ-A	core	AMR	AMR	GLYCOPEPTIDE	VANCOMYCIN	PARTIALP	132	161	79.50	99.22	128	WP_000516404.1	glycopeptide resistance protein VanZ-A	NA	NA
E745_protein	NHECHLLE_03015	vanR-A	vancomycin resistance response regulator transcription factor VanR-A	core	AMR	AMR	GLYCOPEPTIDE	VANCOMYCIN	BLASTP	485	231	99.57	97.83	230	WP_001280781.1	vancomycin resistance response regulator transcription factor VanR-A	NF000401.1	vancomycin resistance response regulator transcription factor VanR-A
E745_protein	NHECHLLE_03015	vanS-A	vancomycin resistance histidine kinase VanS-A	core	AMR	AMR	GLYCOPEPTIDE	VANCOMYCIN	PARTIALP	485	384	67.45	100.00	259	WP_002305818.1	vancomycin resistance histidine kinase VanS-A	NA	NA
E745_protein	NHECHLLE_03017	vanH-A	D-lactate dehydrogenase VanH-A	core	AMR	AMR	GLYCOPEPTIDE	VANCOMYCIN	EXACTP	322	322	100.00	100.00	322	WP_001059542.1	D-lactate dehydrogenase VanH-A	NF000371.1	VanH-A/VanH-Pt family D-lactate dehydrogenase
E745_protein	NHECHLLE_03018	vanA	D-alanine--(R)-lactate ligase VanA	core	AMR	AMR	GLYCOPEPTIDE	VANCOMYCIN	EXACTP	343	343	100.00	100.00	343	WP_001079845.1	D-alanine--(R)-lactate ligase VanA	NF012217.1	D-alanine--(R)-lactate ligase VanA
